Name;Acronym;State Acronym;Institution Type;Level_1;Level_2;Level_3
Faculdade de Administração da Fespsp;FADFESPSP;SP;SCHOLARLY;;;
Faculdade de Administração da Fundação Armando Alvares Penteado;FAE-FAAP;SP;SCHOLARLY;;;
Faculdade de Administração da Serra;FABAVI;ES;SCHOLARLY;;;
Faculdade de Administração de Alta Floresta;FAFLOR;MT;SCHOLARLY;;;
Faculdade de Administração de Assis;FAA;SP;SCHOLARLY;;;
Faculdade de Administração de Brasília;AIEC / FAAB;DF;SCHOLARLY;;;
Faculdade de Administração de Campina Verde;FACAV;MG;SCHOLARLY;;;
Faculdade de Administração de Campo Belo;FACAMP;MG;SCHOLARLY;;;
Faculdade de Administração de Cataguases;UNIPACAT;MG;SCHOLARLY;;;
Faculdade de Administração de Chapadão do Sul;FACHASUL;MS;SCHOLARLY;;;
Faculdade de Administração de Diadema;FAD;SP;SCHOLARLY;;;
Faculdade de Administração de Empresas;FACAMP;SP;SCHOLARLY;;;
Faculdade de Administração de Empresas de Paraíso do Tocantins;FAP;TO;SCHOLARLY;;;
Faculdade de Administração de Fátima do Sul;FAFS;MS;SCHOLARLY;;;
Faculdade de Administração de Governador Valadares;FAGV;MG;SCHOLARLY;;;
Faculdade de Administração de Itabirito;FAI;MG;SCHOLARLY;;;
Faculdade de Administração de Jequié;FAJ;BA;SCHOLARLY;;;
Faculdade de Administração de Mariana;FAMA;MG;SCHOLARLY;;;
Faculdade de Administração de Nova Andradina;FANA;MS;SCHOLARLY;;;
Faculdade de Administração de Nova Andradina - Fanova;FANOVA;MS;SCHOLARLY;;;
Faculdade de Administração de Passos;FAP;MG;SCHOLARLY;;;
Faculdade de Administração de Santa Cruz do Rio Pardo;FASC;SP;SCHOLARLY;;;
Faculdade de Administração de Santo Antônio do Monte;FASAM;MG;SCHOLARLY;;;
Faculdade de Administração de Teresina;FAT;PI;SCHOLARLY;;;
Faculdade de Administração e Artes de Limeira;FAAL;SP;SCHOLARLY;;;
Faculdade de Administração e Ciências Contábeis de São Roque;FACCSR;SP;SCHOLARLY;;;
Faculdade de Administração e Ciências Contábeis Luzwell;LUZWELL;SP;SCHOLARLY;;;
Faculdade de Administração e Informática;FAI;MG;SCHOLARLY;;;
Faculdade de Administração e Negócios de Monte Alto;FAN;SP;SCHOLARLY;;;
Faculdade de Administração e Negócios de Sergipe;FANESE;SE;SCHOLARLY;;;
Faculdade de Administração Escola Superior Professor Paulo Martins;ESPAM;DF;SCHOLARLY;;;
Faculdade de Administração Jk;Faculdade JK;DF;SCHOLARLY;;;
Faculdade de Administração Milton Campos;FAMC;MG;SCHOLARLY;;;
Faculdade de Administração São Paulo;FAPI;SP;SCHOLARLY;;;
Faculdade de Administração, Ciências, Educação e Letras;FACEL;PR;SCHOLARLY;;;
Faculdade de Agronomia e Engenharia Florestal de Garça;FAEF;SP;SCHOLARLY;;;
Faculdade de Agudos;FAAG;SP;SCHOLARLY;;;
Faculdade de Alagoas;FAL;AL;SCHOLARLY;;;
Faculdade de Amambai;FIAMA;MS;SCHOLARLY;;;
Faculdade de Americana;FAM;SP;SCHOLARLY;;;
Faculdade de Apucarana;FAP;PR;SCHOLARLY;;;
Faculdade de Aracruz;FAACZ;ES;SCHOLARLY;;;
Faculdade de Arquitetura e Urbanismo de Pernambuco;FAUPE;PE;SCHOLARLY;;;
Faculdade de Arte e Design;FAD;MG;SCHOLARLY;;;
Faculdade de Artes do Paraná;FAP;PR;SCHOLARLY;;;
Faculdade de Artes Dulcina de Moraes;FADM;DF;SCHOLARLY;;;
Faculdade de Artes Plásticas da Fundação Armando Alvares Penteado;FAAP;SP;SCHOLARLY;;;
Faculdade de Artes, Ciências e Tecnologias;FACET;BA;SCHOLARLY;;;
Faculdade de Arujá;FAR;SP;SCHOLARLY;;;
Faculdade de Assuntos Acadêmicos e Científicos Monsenhor Edisson Vieira Lício;FAACI;SP;SCHOLARLY;;;
Faculdade de Auriflama;FAU;SP;SCHOLARLY;;;
Faculdade de Belém;FABEL;PA;SCHOLARLY;;;
Faculdade de Belford Roxo;FABEL;RJ;SCHOLARLY;;;
Faculdade de Biblioteconomia e Ciência da Informação;FaBCI;SP;SCHOLARLY;;;
Faculdade de Cafelândia;FAC;PR;SCHOLARLY;;;
Faculdade de Caldas Novas;UNICALDAS;GO;SCHOLARLY;;;
Faculdade de Campina Grande;FAC-CG;PB;SCHOLARLY;;;
Faculdade de Campina Grande do Sul;FACSUL;PR;SCHOLARLY;;;
Faculdade de Campo Verde;FCV;MT;SCHOLARLY;;;
Faculdade de Cascavel;FADEC;PR;SCHOLARLY;;;
Faculdade de Castelo;FACASTELO;ES;SCHOLARLY;;;
Faculdade de Ciência e Tecnologia;FACITEC;PR;SCHOLARLY;;;
Faculdade de Ciência e Tecnologia Albert Einstein;FACTAE;BA;SCHOLARLY;;;
Faculdade de Ciência e Tecnologia de Montes Claros;FACIT;MG;SCHOLARLY;;;
Faculdade de Ciências Administrativas;FCA;MT;SCHOLARLY;;;
Faculdade de Ciências Administrativas de Curvelo;FACIAC;MG;SCHOLARLY;;;
Faculdade de Ciências Administrativas e Contábeis de Itabira;FACCI;MG;SCHOLARLY;;;
Faculdade de Ciências Administrativas e Contábeis Santa Lúcia;FCACSL;SP;SCHOLARLY;;;
Faculdade de Ciências Administrativas e de Tecnologia;FATEC;RO;SCHOLARLY;;;
Faculdade de Ciências Agrárias de Andradina;FCAA;SP;SCHOLARLY;;;
Faculdade de Ciências Agrárias de Araripina;FACIAGRA;PE;SCHOLARLY;;;
Faculdade de Ciências Agrárias e da Saúde;FAS;BA;SCHOLARLY;;;
Faculdade de Ciências Agrárias e Exatas de Primavera do Leste;UNICEN;MT;SCHOLARLY;;;
Faculdade de Ciências Agrárias, Biológicas, Exatas e Sociais;FABES;BA;SCHOLARLY;;;
Faculdade de Ciências Agro- Ambientais;FAGRAM;RJ;SCHOLARLY;;;
Faculdade de Ciências Aplicadas de Cascavel;FACIAP;PR;SCHOLARLY;;;
Faculdade de Ciências Aplicadas de Minas;FACIMINAS;MG;SCHOLARLY;;;
Faculdade de Ciências Aplicadas Doutor Leão Sampaio;LEÃO;CE;SCHOLARLY;;;
Faculdade de Ciências Aplicadas e Sociais de Petrolina;FACAPE;PE;SCHOLARLY;;;
Faculdade de Ciências Aplicadas Sagrado Coração;UNILINHARES;ES;SCHOLARLY;;;
Faculdade de Ciências Biológicas e da Saúde;FACIBIOS;MG;SCHOLARLY;;;
Faculdade de Ciências Biológicas e da Saúde;FACISA;MG;SCHOLARLY;;;
Faculdade de Ciências Biológicas e da Saúde de União da Vitória;Uniguaçu;PR;SCHOLARLY;;;
Faculdade de Ciências Biológicas Jk;Faculdade JK;DF;SCHOLARLY;;;
Faculdade de Ciências Biomédicas de Cacoal;FACIMED;RO;SCHOLARLY;;;
Faculdade de Ciências Biomédicas do Espírito Santo;PIO XII - BIO;ES;SCHOLARLY;;;
Faculdade de Ciências Contábeis;FACIC;BA;SCHOLARLY;;;
Faculdade de Ciências Contábeis - Maceió;SEUNE;AL;SCHOLARLY;;;
Faculdade de Ciências Contábeis de Afonso Cláudio;ISEAC;ES;SCHOLARLY;;;
Faculdade de Ciências Contábeis de Alta Floresta;FACTERFLOR;MT;SCHOLARLY;;;
Faculdade de Ciências Contábeis de Araguaína;ITPAC;TO;SCHOLARLY;;;
Faculdade de Ciências Contábeis de Assis;FCCA;SP;SCHOLARLY;;;
Faculdade de Ciências Contábeis de Itabirito;FACCI;MG;SCHOLARLY;;;
Faculdade de Ciências Contábeis de Itapetininga;FCCI;SP;SCHOLARLY;;;
Faculdade de Ciências Contábeis de Jequié;FCCJ;BA;SCHOLARLY;;;
